,no_internet,population,unemp,health_ins,poverty,SNAP,broad_num,broad_avail,broad_cost,all25_bbn
"Newberry County, South Carolina",35.8,38440,2.7,9,18.7,16.2,8,72.5,63.99,6.932573357
"Oconee County, South Carolina",27.9,79546,2.8,12.2,18.3,12.9,5,79.6,67.5,8.803186099
"Orangeburg County, South Carolina",36,86175,4.8,12.4,24.2,21,6,59.9,61.97,5.631304935
"Pickens County, South Carolina",24.3,126884,2.8,10,17.5,10,6,94.8,74.39,7.269414558
"Richland County, South Carolina",19.9,415759,2.8,9.2,16.3,13.7,7,98,59.99,7.625773017
"Saluda County, South Carolina",34.8,20473,2.7,13.5,16.2,13.9,8,54.2,63.3,5.769916009
"Spartanburg County, South Carolina",23.2,319785,2.6,10.9,14.8,12.9,8,95.3,62.14,8.007552745
"Sumter County, South Carolina",26.6,106721,3.4,12.2,20.3,18.6,3,96.6,69.98,5.416625414
"Union County, South Carolina",37.6,27316,3.5,9.7,21.7,18.2,3,80.2,69.99,5.857616393
"Williamsburg County, South Carolina",50.9,30368,4.6,9.8,25.1,27.5,3,79.2,73.31,5.135509046
"York County, South Carolina",15.5,280979,2.8,8.7,11.5,9.3,7,96.6,64.98,7.348583868
"Aurora County, South Dakota",28.9,2751,2.8,6.6,7.3,4.9,5,69.3,75.3,5.878447395
"Beadle County, South Dakota",30.2,18453,3.2,6.6,18.1,14,4,85.5,65.76,10.63840797
"Bon Homme County, South Dakota",29.3,6901,3.2,4.5,10.9,7.2,4,66.8,39.99,5.071976322
"Brookings County, South Dakota",18.1,35077,3.3,6,15.4,5.1,5,97.9,64.45,6.741186505
"Brown County, South Dakota",22.3,38839,3.1,8,12,6.4,5,90.7,59.72,8.717072038
"Brule County, South Dakota",29.2,5297,3.1,9.6,17.8,13.6,1,100,71.95,3.259003831
"Buffalo County, South Dakota",43.3,1962,6.6,42.4,39.2,47.3,2,100,67.95,4
"Butte County, South Dakota",25,10429,3.4,13,12.2,15.2,5,95.9,53.65,8.101304216
"Campbell County, South Dakota",32.2,1376,3.6,1.7,4,2.3,3,76,56.97,3.238895558
"Charles Mix County, South Dakota",35.8,9292,3.7,19,20.2,14.2,2,34.9,71.95,4.872078412
"Clark County, South Dakota",30.1,3736,4,7.8,13.1,4.9,2,77,64.95,5
"Clay County, South Dakota",12.4,14070,3.3,7.5,25.3,11.2,3,78.1,44.97,6.781282586
"Codington County, South Dakota",22.3,28009,3.2,5.5,12.4,9.2,6,87.4,54.96,6.790949227
"Corson County, South Dakota",46,4086,5.8,24.6,44.3,28.9,2,82.8,84.98,3.952696527
"Custer County, South Dakota",22.1,8972,4.4,10.5,13.1,6.8,5,62.5,61.66,4.982695811
"Davison County, South Dakota",18.4,19775,2.9,5.8,12.8,12.3,6,94.8,64.71,8.706202971
"Day County, South Dakota",33.1,5424,4.6,11.5,19.2,10.7,6,72.4,61.55,6.586598217
"Deuel County, South Dakota",22.4,4351,4.8,6.5,9.8,5.8,2,97.8,64.95,4
"Dewey County, South Dakota",45.7,5892,8.3,28.8,30.2,24.9,2,73.6,83.98,4.854027862
"Douglas County, South Dakota",28.5,2921,2.8,13.8,7.4,3.7,5,82.4,80.98,6.424144609
"Edmunds County, South Dakota",27.9,3829,3,7.1,5.5,4.8,5,92.8,54.63,7.052919255
"Fall River County, South Dakota",22.8,6713,4.3,9.5,13.8,6.3,3,92,59.99,5.065633204
"Faulk County, South Dakota",31,2299,3.3,10.5,12.8,1.8,3,92.7,63.95,4.427480916
"Grant County, South Dakota",20,7052,3.4,5.3,7.8,5.7,4,73.6,59.95,6
"Gregory County, South Dakota",30.1,4185,3.5,11,13.9,10,3,91.6,80.95,5.212235818
"Hamlin County, South Dakota",27.2,6164,3.3,5.2,5.8,3.8,3,70.1,64.95,4.942132766
"Hand County, South Dakota",25.1,3191,2.8,5.2,9,3.9,3,74.6,61.95,5.521040797
"Hanson County, South Dakota",16.9,3453,4.7,5.7,6.7,2.3,3,82.9,59.97,5
"Harding County, South Dakota",17,1298,2.8,6.9,8.5,1.5,2,100,51.5,4
"Hughes County, South Dakota",19.9,17526,2.7,6.6,11.2,6.4,4,94.8,56.95,6.888186911
"Hutchinson County, South Dakota",30.3,7291,3.1,5.6,10.5,5.5,6,99.7,67.3,5.814726487
"Hyde County, South Dakota",22.9,1301,3.5,5,14.4,4.8,1,100,63.95,3
"Jerauld County, South Dakota",27.6,2013,2.8,6.3,8.3,4.1,4,100,75.3,5.606484236
"Kingsbury County, South Dakota",27.4,4939,3,3.5,9.5,5.7,3,71.5,63.28,6.628230616
"Lake County, South Dakota",19.1,12797,3.6,7.4,12.4,4.5,7,90.2,53.29,9.605084895
"Lawrence County, South Dakota",17.8,25844,3.2,9.7,11.8,7.9,4,90.7,44.97,6.385508746
"Lincoln County, South Dakota",10.8,61128,2.6,4.5,3.7,3.5,6,91.1,54.47,7.705341908
"Lyman County, South Dakota",29.4,3781,4.8,17.1,22,12.5,6,78.5,71.15,5.786553703
"McCook County, South Dakota",21.6,5586,2.9,8.9,10,6.9,2,77.9,62.49,6.357892108
"McPherson County, South Dakota",35.8,2379,4.3,8.5,15.4,8.9,4,96.3,65.71,5.387856258
"Marshall County, South Dakota",25.2,4935,3.8,8.2,8.3,6,4,76.5,39.95,5.802607076
"Meade County, South Dakota",17.7,28332,3.6,10.2,7.4,8,7,88.5,53.65,7.759161863
"Mellette County, South Dakota",59.7,2061,5.7,35.2,48.3,28.9,3,60.7,84.95,4.854755784
"Miner County, South Dakota",23,2216,3.1,7.9,9.1,8,3,100,63.3,4.914268218
"Minnehaha County, South Dakota",17.8,193134,2.9,7.4,10.8,9.6,7,98.5,46.97,7.370644609
"Moody County, South Dakota",23.5,6576,3.6,10.7,14.9,8.3,8,69.6,52.47,7.181870781
"Oglala Lakota County, South Dakota",50.5,14177,9.7,35.6,49.3,53.5,8,95.6,44.97,8.224723466
"Pennington County, South Dakota",18,113775,3.4,11.2,13.4,11,3,98.7,56.33,4.529966076
"Perkins County, South Dakota",22.6,2865,3.1,9.3,11.8,4.3,2,100,63.95,3.666666667
"Potter County, South Dakota",23.2,2153,3.2,5.4,7.1,3.1,4,79.5,63.45,6.869109415
"Roberts County, South Dakota",29,10394,4.3,19.4,18.8,12.9,3,100,74.98,6
"Spink County, South Dakota",21.6,6376,3.4,6.7,9.5,6.8,6,70.4,59.62,7.901984808
"Stanley County, South Dakota",18,3098,3,5.6,4.7,3.9,3,92,56.95,7
"Sully County, South Dakota",21.5,1391,2.9,6.7,4.4,2.3,2,100,63.95,3
"Tripp County, South Dakota",27.9,5441,2.9,7.6,19.9,11.1,3,90.6,84.95,5.414844852
"Turner County, South Dakota",26.7,8384,3,6,10.7,9.5,5,61.1,39.99,5.876277986
"Union County, South Dakota",19.6,15932,3.4,5.9,7.1,6.1,9,86,55.74,5.485532165
"Walworth County, South Dakota",33.8,5435,5.5,10.4,10,7.6,4,99,60.96,6.398765432
"Yankton County, South Dakota",23.5,22814,2.9,6.2,12.6,11.4,6,86.2,44.97,7.514484814
"Ziebach County, South Dakota",48,2756,5.6,25,41,32.7,3,98.1,87.5,5
"Anderson County, Tennessee",23.2,76978,3.6,9.2,16.2,17.6,5,97.3,74.19,6.298316462
"Bedford County, Tennessee",28.9,49713,3.7,11.3,15.8,16.9,6,84,67.5,13.00124509
"Benton County, Tennessee",38.8,16160,4.5,9.7,21.4,20,3,37.5,68.98,4.046037331
"Bledsoe County, Tennessee",34.5,15064,5.4,13,20.3,27.1,2,40,59.31,4
"Blount County, Tennessee",22.7,133088,3.2,8.8,11.7,11.6,6,97.9,67.5,9.070535263
"Bradley County, Tennessee",23,108110,3.5,11.8,16.6,15.2,7,97.3,65.59,9.613290168
"Campbell County, Tennessee",40.7,39842,4.6,11.3,19.7,22.8,4,85.4,66,6.901364748
"Cannon County, Tennessee",34.9,14678,3.1,10.1,15.9,18.6,3,99.7,67.49,5.259881352
"Carroll County, Tennessee",33.2,27767,4.8,8.1,19.8,18.4,3,69.3,70.18,4.575590605
"Carter County, Tennessee",35.5,56391,4.1,11.9,23.5,18.7,4,97.5,74.99,5.63919598
"Cheatham County, Tennessee",21.3,40667,2.6,9.5,11.5,11.7,6,94,67.5,6.732033529
"Chester County, Tennessee",28,17297,3.4,12,18.5,15.8,6,50.8,67.5,6.72716642
"Claiborne County, Tennessee",38.5,31959,4.2,7.8,23.6,20.4,6,94,58.75,5.350108511
"Clay County, Tennessee",43.5,7615,6,11.1,26.7,18.5,3,95.4,57.47,4.555892383
"Cocke County, Tennessee",41.5,36004,4.5,11.2,24.9,24.5,6,76.4,67.5,8.732824852
"Coffee County, Tennessee",31,56520,3.3,9.7,14.1,14.4,4,83.4,61.23,10.00969241
"Crockett County, Tennessee",32.9,14230,3.5,12.5,19.3,18,3,68.9,64.99,6.134992203
"Cumberland County, Tennessee",24,60520,4.5,9.7,15.2,16,6,58.3,61.64,5.164912349
"Davidson County, Tennessee",17.3,694144,2.5,12.6,16.4,12.1,9,97.8,93.7,8.640068609
"Decatur County, Tennessee",34.4,11663,5.3,8.4,19.4,18.9,2,55.7,67.97,5.766603979
"DeKalb County, Tennessee",29.2,20490,4.3,12.2,17.5,15.3,5,98.9,63.55,5.582636858
"Dickson County, Tennessee",28.3,53948,3,11.7,14.3,12.9,3,84.5,67.5,6.771906606
"Dyer County, Tennessee",25.2,37159,4.9,9.2,18.5,17.6,7,90.9,72.83,7.813595255
"Fayette County, Tennessee",27.7,41133,3.6,7.6,13.9,15,5,81,66.25,7.314683718
"Fentress County, Tennessee",35.6,18523,4.2,9.7,21.8,26.1,2,99,72.49,6
"Franklin County, Tennessee",29.4,42208,3.3,7.1,14.8,13.8,8,80.3,60.69,9.572864322
"Gibson County, Tennessee",29.3,49133,4.2,8,17.1,18.4,5,74.3,70.97,9.127126474
"Giles County, Tennessee",31.6,29464,3.9,9.5,14.7,15.7,5,51.5,63.1,8.288708373
"Grainger County, Tennessee",28.2,23320,4,10.6,18.5,19.2,4,65.8,69.99,3.400536625
"Greene County, Tennessee",30.6,69069,4.7,9.5,17,15.6,4,96.7,70,4.295629859
"Grundy County, Tennessee",35.2,13427,4.1,17,24.3,26.3,3,78.9,56.97,4.697578523
"Hamblen County, Tennessee",28.9,64934,3.9,11.1,19.5,18.3,7,100,61.99,9.937453161
"Hamilton County, Tennessee",21.9,367804,3.2,9,13.7,13,9,99.3,64.65,8.805430948
"Hancock County, Tennessee",55.4,6620,5.9,11.7,25.8,30.4,4,63.9,53.74,4.902097902
"Hardeman County, Tennessee",39.4,25050,5,10.9,20.8,18.7,2,49.8,69.99,3.824074778
"Hardin County, Tennessee",32.7,25652,4.3,11.4,20.5,20.3,4,68.2,87.48,5.570002322
"Hawkins County, Tennessee",34.1,56786,4.1,9.2,19,19.8,5,73.6,69.99,5.432413854
"Haywood County, Tennessee",38.1,17304,4.9,10.3,19.6,26,3,64.9,69.99,4.140168722
"Henderson County, Tennessee",31.3,28117,4.3,9.4,19.4,22,4,63.6,68.98,7.719728336
"Henry County, Tennessee",28,32345,4.1,9.2,19.8,18.5,6,85,73.71,7.394928218
"Hickman County, Tennessee",41.8,25178,3.1,8.9,18.1,16.1,4,61.8,69.99,6.933228117
"Houston County, Tennessee",33.5,8201,4.6,9.7,15.9,14.9,3,46.9,71.63,4.744927536
"Humphreys County, Tennessee",34.2,18582,3.8,9.7,18,12.9,3,47.2,68.65,5.138844435
"Jackson County, Tennessee",37,11786,4.6,10.3,19.7,18.3,3,76,61.23,4.952275601
"Jefferson County, Tennessee",29.2,54495,3.7,10,14,18.2,6,77,67.5,7.410803996
"Johnson County, Tennessee",38.6,17788,3.5,10.7,23.5,21.2,6,94.6,68.33,5.307849903
"Knox County, Tennessee",19.2,470313,2.9,8.4,15.2,12,9,98.8,105.98,9.008710814
"Lake County, Tennessee",39.4,7016,5.7,10.2,26.9,38.3,3,64.2,65,4.675867123
"Lauderdale County, Tennessee",32,25633,5.4,10.3,22.3,25.9,3,73.7,65,5.477795885
"Lawrence County, Tennessee",33.3,44142,4.1,14.5,19,18.6,3,50.3,65.31,7.61274072
"Lewis County, Tennessee",41.5,12268,4,10.3,20.3,19.7,1,56.3,57.47,7
"Lincoln County, Tennessee",36.1,34366,3.6,8.4,15.9,15.4,4,78.3,64.37,10.13597647
"Loudon County, Tennessee",23.3,54068,3.4,10.3,11.9,9.4,7,92.3,67.19,8.509889794
"McMinn County, Tennessee",30.4,53794,3.8,9.4,19.6,16.8,2,93.4,63.31,7.375902599
"McNairy County, Tennessee",34.5,25694,5.2,12.2,20.7,24,8,94.3,66,5.774164699
"Macon County, Tennessee",36.2,24602,3.1,11,17.9,18.2,5,84.8,66.99,4.260277615
"Madison County, Tennessee",26.2,97984,3.6,9.3,19.4,17.1,7,81.7,67.19,7.601261225
"Marion County, Tennessee",31.4,28907,4.3,9.3,18.2,16.7,6,92.9,63.33,6.721118798
"Marshall County, Tennessee",28.9,34375,3.5,8.7,14.7,11.9,7,79.1,67.19,9.959152585
"Maury County, Tennessee",20.3,96387,3.2,9.3,12.4,12.7,5,53.9,69.99,10.89239455
"Meigs County, Tennessee",37.5,12422,4.6,9.2,17,19.6,4,55.9,65.59,7
"Monroe County, Tennessee",29.2,46545,3.7,11.1,19.3,18.5,7,69.1,67.19,9.794155844
"Montgomery County, Tennessee",15.8,208993,3.8,8.4,13.5,12.1,7,97.4,63.19,9.687452925
"Moore County, Tennessee",37.5,6488,2.9,10.7,7.9,10.5,7,47.3,64.99,8
"Morgan County, Tennessee",31,21403,4.1,11,22,25.9,5,100,77.5,3.257677475
"Obion County, Tennessee",28.8,30069,4.9,10.5,22.7,18.8,2,72.9,69.97,4.931987609
"Overton County, Tennessee",36.1,22241,3.8,8.7,17,10.8,4,70.5,71.66,4.660514389
"Perry County, Tennessee",43.6,8076,5,14.7,30.3,17.3,1,38,65.95,5
"Pickett County, Tennessee",25.7,5048,4.7,6.4,17.2,23.5,3,94.1,72.49,5.522764901
"Polk County, Tennessee",31.3,16832,4,11.1,16.4,13.3,5,79.7,66.33,6.143919433
"Putnam County, Tennessee",25.3,80245,3.5,8.9,19.5,12.1,3,94.2,62.97,5.916227306
"Rhea County, Tennessee",34,33167,5.7,9.8,21.9,19.2,7,84.5,65.59,8.674220374
"Roane County, Tennessee",29.2,53382,4,8.6,15,16.4,6,93.3,67.5,7.185311729
"Robertson County, Tennessee",19.6,71813,2.9,9,11.6,11.2,6,85,67.5,7.404945259
"Rutherford County, Tennessee",16.6,332285,2.6,8.9,11.8,9.6,9,97.2,99.41,10.37992418
"Scott County, Tennessee",37.7,22068,4.4,11.9,22.3,29.8,2,99.9,83.33,3.493686493
"Sequatchie County, Tennessee",28.6,15026,4.2,11.3,16.6,20.7,5,59.5,65.58,5
"Sevier County, Tennessee",23.8,98250,3.3,16.3,15,14.9,6,93,67.5,9.429511859
"Shelby County, Tennessee",27,937166,4,12.1,20.6,18,7,98.5,68.33,7.656050477
"Smith County, Tennessee",28.5,20157,3,8.7,14.9,15.8,8,85.2,64.27,6.105590482
"Stewart County, Tennessee",33.4,13715,4.5,10,16.5,14.9,2,78,68.31,3.681329
"Sullivan County, Tennessee",23.8,158348,3.7,8.8,16.6,16.5,6,100,59.98,7.048770115
"Sumner County, Tennessee",16.7,191283,2.7,8.7,9.5,10.6,6,98.8,63.99,7.802331758
"Tipton County, Tennessee",24.9,61599,3.9,9.4,13.9,18.8,5,91.1,66,6.796454532
"Trousdale County, Tennessee",36.2,11284,3.1,15,15.9,14.5,4,70.1,63.31,7
"Unicoi County, Tennessee",32.9,17883,5,9.9,21.1,21.5,4,96.8,64.97,6.183219178
"Union County, Tennessee",37.3,19972,4,11.9,21.6,26.4,4,79.7,57.74,4.673269231
"Van Buren County, Tennessee",31.2,5872,4.5,14.4,19,18.3,3,49.5,57.46,6
"Warren County, Tennessee",30.6,41277,4.1,12.4,22.9,20.8,4,81.3,62.97,6.935611007
"Washington County, Tennessee",19.6,129375,3.5,9.1,15.7,13.4,5,98.2,66.64,10.32420991
"Wayne County, Tennessee",36.3,16673,4.7,11.2,19.6,17.3,3,54.1,67.97,5.346175897
"Weakley County, Tennessee",29.6,33328,4,9.7,20.2,18.6,2,59.1,73.3,3.761164286
"White County, Tennessee",33,27345,3.7,11.3,17.4,17.8,5,67.5,63.31,5.816775037
"Williamson County, Tennessee",7.7,238412,2.4,4.9,4.3,3,8,95.3,113.99,10.06712238
"Wilson County, Tennessee",16,144657,2.7,6.6,8.2,8.6,9,96.4,69.48,9.061723752
"Anderson County, Texas",33.1,57735,2.9,14.1,14.8,11.8,5,54.4,34.99,5.157963533
"Andrews County, Texas",15,18705,2.2,18.2,10.4,7.2,2,98.1,36.49,10
"Angelina County, Texas",20.2,86715,4,19.2,18.3,19.6,4,88,67.38,5.076900991
"Aransas County, Texas",19.9,23510,4.3,20.5,20.3,12.6,4,96.8,49.48,9.894036766
"Archer County, Texas",24.8,8553,2.8,11.4,9.3,6.2,5,87,68.26,7.938137755
"Atascosa County, Texas",23.2,51153,3.6,15.8,15,16.5,4,49.2,53.73,6.371988558
"Austin County, Texas",27.6,30032,3.4,12.1,10.8,8.6,3,54,49.27,6.241256857
"Bandera County, Texas",20.5,23112,3.3,17.7,15,10.4,6,56,72.48,4.92912761
"Bastrop County, Texas",19.1,88723,3,16.3,10,11.6,6,71.2,64.15,10.88592482
"Baylor County, Texas",25,3509,2.3,13.1,10.9,12.3,2,99.8,63.71,5
"Bee County, Texas",38.4,32565,4.4,20,21.7,17,1,80.9,59.98,7.727538748
"Bell County, Texas",17,362924,3.8,11.8,13.9,14,7,96,61.24,6.943206627
"Bexar County, Texas",20.8,2003554,3.1,15.1,16.3,13.2,8,97.6,59.66,11.48002349
"Blanco County, Texas",18,11931,2.4,18,9.5,5.1,1,25.3,59.96,5.842474227
"Borden County, Texas",21.5,654,2.5,4.7,2.6,1.9,2,30.8,74.96,3.828232355
"Bosque County, Texas",28.2,18685,3.4,17.9,14.5,8.7,3,35.9,60,5.530944111
"Bowie County, Texas",31.3,93245,4.4,14.5,17.2,14,5,91.5,51,6.966317503
"Brazoria County, Texas",15.1,374264,4.2,13.4,9.2,8,10,86,58.4,10.28215957
"Brazos County, Texas",18.9,229211,2.7,13.1,25,8,1,89.1,61.54,7.601524448
"Brewster County, Texas",24.6,9203,2.9,16.8,12.4,14,2,69.2,71.33,4.752172024
"Briscoe County, Texas",25,1546,3.5,21.9,15.6,11.2,2,73.7,76.95,4
"Brooks County, Texas",39,7093,5.1,21.9,38.9,36,2,89.1,52.49,6.769496939
"Brown County, Texas",28.5,37864,3.7,13.7,14.5,11.6,2,2.5,79.57,8.748509515
"Burleson County, Texas",31.1,18443,3.1,16.7,12.6,9.4,1,1.5,72.98,8.436594097
"Burnet County, Texas",24,48155,2.7,15.2,11,8.2,3,55.9,69.99,7.677525337
"Caldwell County, Texas",34.8,43664,3.3,21.3,17.7,12.3,4,72.2,51.98,10.16291434
"Calhoun County, Texas",23.8,21290,3.2,19,14.1,15.5,3,86.3,57.37,10.26212001
"Callahan County, Texas",33.2,13943,3.1,18.5,14.1,8.6,3,62.4,54.98,8.384500862
"Cameron County, Texas",46.1,423163,5.5,28.6,30.6,24.8,3,92.5,56.25,8.152852803
"Camp County, Texas",38.3,13094,4.2,16.6,19.9,19.3,4,51.4,58.72,6.65877712
"Carson County, Texas",25.5,5926,2.6,11.4,6.3,4.9,2,63.4,57.5,7.040481591
"Cass County, Texas",37.3,30026,4.3,15.4,19.6,16.4,5,54.4,60.69,5.967059211
"Castro County, Texas",30.7,7530,2.8,26.1,15.7,13.6,4,61.9,34.99,8.211330449
"Chambers County, Texas",19.3,43837,4.5,14.3,12.7,6.8,5,65.1,71.98,6.20463409
"Cherokee County, Texas",30.6,52646,3.8,18.8,18.2,15.6,6,43.5,60.98,6.992563149
"Childress County, Texas",28.4,7306,2.7,17.1,14.6,14.2,2,95.2,63.72,6
"Clay County, Texas",28.5,10471,3.1,13.9,13.6,11.9,3,17.2,58.98,6.157762017
"Coke County, Texas",31.7,3387,3.2,13,15.8,8.1,3,73.6,52.48,4.900990099
"Coleman County, Texas",30.4,8175,4.1,23,19.4,11.6,2,26.2,73.32,6.911275831
"Collin County, Texas",8.4,1034730,3.1,10.4,6.6,3.1,9,97,55.51,11.17957659
"Colorado County, Texas",36.1,21493,3.1,13.6,10.8,6.2,3,62.4,79.55,5.334458595
"Comal County, Texas",12.8,156209,3,12.3,8.2,4.3,7,95.9,63.31,11.27144833
"Comanche County, Texas",32.5,13635,3.2,18.1,16.2,11.1,2,47.2,104.95,9.043426295
"Concho County, Texas",28.8,2726,3.2,17.1,7.3,4.1,1,8.4,84.98,5
"Cooke County, Texas",24,41257,2.8,14.9,14,11.8,5,75.8,50,9.095312275
"Coryell County, Texas",15.7,75951,3.9,9.9,13.5,11.9,7,76.1,66.23,9.157103142
"Cottle County, Texas",34.8,1398,4.2,13.6,31.4,24.9,3,87,68.13,6
"Crosby County, Texas",34.1,5737,3.9,20.4,20.7,21.1,3,70,76.95,6.345939558
"Dallam County, Texas",27.6,7287,1.9,24.9,13.9,8.4,3,98.1,67.67,4.864595087
"Dallas County, Texas",21.3,2635516,3.5,21,16.6,12.7,9,99.8,57.05,8.745253367
"Dawson County, Texas",31,12728,3.9,15.4,22.8,14.5,4,59.5,74.96,8.87720724
"Deaf Smith County, Texas",25.2,18546,2.8,20.4,17.4,13.5,2,90.1,60,8.97881486
"Delta County, Texas",29,5331,3.4,15.2,23.7,14.3,5,17.9,46.65,6.648006444
"Denton County, Texas",9.7,887207,3,11.5,8.1,5.1,10,97.2,55.62,11.15718322
"DeWitt County, Texas",35.2,20160,2.6,13,16,13.8,2,56.1,65,5.44747767
"Dickens County, Texas",26,2211,4.4,18.8,17.2,12,2,91.8,76.95,3.965384615
"Dimmit County, Texas",42.8,10124,2.5,22.2,29.8,30.6,1,84.7,65,3
"Duval County, Texas",40.4,11157,4.5,24.5,25.6,29.5,4,53.2,54.99,5.958146859
"Eastland County, Texas",34.3,18360,3.3,16.2,20.5,14,4,6.7,76.98,6.418185542
"Ector County, Texas",18.1,166223,2.6,21.5,11.8,11.9,7,84,58.99,12.05734775
"Edwards County, Texas",55.7,1932,2.3,12.3,6.7,13.3,3,47.6,87.47,5.439641865
"Ellis County, Texas",15,184826,3.1,15.2,9.3,7.8,6,99.1,51.41,8.840666185
"El Paso County, Texas",25.2,839238,3.8,20.7,21.3,21.2,6,74.9,61.59,9.083141423
"Erath County, Texas",25.2,42698,3.2,17.8,21.2,10.6,6,68,87.47,11.20695252
"Falls County, Texas",41,17297,3.3,16.9,25.5,18.9,3,29.2,76.77,4.815914787
"Fannin County, Texas",30.2,35514,2.7,16,12.5,11.4,2,42.5,56.99,4.892820636
"Fayette County, Texas",38.3,25346,2.6,10.8,10.9,8.1,5,69.6,89.48,8.267751086
"Fisher County, Texas",31.7,3830,2.9,15.4,16.1,9.8,1,8.8,47.5,3.182051282
"Floyd County, Texas",26.5,5712,4.3,22.4,19.1,17.8,1,50.3,57.31,4.175719844
"Foard County, Texas",31.1,1155,3.1,13.3,6.9,17.6,2,99.9,79.95,5
"Fort Bend County, Texas",7.9,811688,3.5,11.1,7.8,7,12,94.8,76.98,11.74801875
"Franklin County, Texas",22.3,10725,3.6,16.6,8.5,10.6,3,70.7,58.3,7.201518119
"Freestone County, Texas",32.7,19717,4.8,15.7,17.2,13.9,2,72.2,47.5,5.955018834
"Frio County, Texas",39.8,20306,2.6,22,20.2,22.9,2,89.2,64.99,8.340854564
"Gaines County, Texas",23.9,21492,2.4,31.7,14.2,7.4,3,69.7,65.38,7.824015055
"Galveston County, Texas",17,342139,4,14.2,13.2,11.5,9,96,60.08,9.25339024
"Garza County, Texas",21.5,6229,2.7,17.5,17.7,13.8,5,91.9,71.76,6.947197777
"Gillespie County, Texas",22.4,26988,2.4,18.8,11.4,5.6,5,73.2,66.22,8.613835309
"Glasscock County, Texas",22.9,1409,2.1,20.3,9.5,0.7,1,84.9,63.31,3
"Goliad County, Texas",36.2,7658,3.4,10.7,17.1,13.2,1,25.5,48.31,6
"Gonzales County, Texas",28.7,20837,2.7,19.9,15.7,17.5,2,41.9,63.31,5.357496376
"Gray County, Texas",27.6,21886,3.6,18.1,15.8,13.7,3,81,57.5,6.841784452
"Grayson County, Texas",25.6,136212,3.1,16.9,13.8,12,8,83,49.99,7.155796366
"Gregg County, Texas",23.9,123945,3.7,19,17.6,14.7,5,92.3,48.31,7.740925437
"Grimes County, Texas",32.5,28880,3.9,13.7,19.1,14.4,7,59.1,44.15,8.656072605
"Guadalupe County, Texas",16,166847,2.9,11.5,9.5,6.6,6,89.5,60,11.91579001
"Hale County, Texas",24,33406,4.5,19.1,18.7,15.7,4,84.3,60.3,6.761390148
"Hall County, Texas",39.5,2964,4.1,25.6,23.2,18.9,2,58.7,81.28,3.824508825
"Hamilton County, Texas",32.3,8461,3,17.5,16.3,14.7,4,31.6,99.95,7.297267997
"Hansford County, Texas",26,5399,2.3,19.7,16.1,5.9,2,61.3,93.33,4.929636455
"Hardeman County, Texas",33.9,3933,3,15.8,12.6,11.3,1,9.9,54.98,3
"Hardin County, Texas",22.7,57602,4.6,14.8,12.6,9.8,2,80.1,83.14,3.952787216
"Harris County, Texas",18.7,4713325,3.8,20.2,16.2,12.9,14,95.7,72.57,10.42950843
"Harrison County, Texas",35.5,66553,4,14.9,16.1,13.1,9,78.1,64.42,6.722304533
"Hartley County, Texas",22.7,5576,1.6,16.9,6.3,5.8,3,90.7,67.67,5
"Haskell County, Texas",38.4,5658,3.3,19.3,20.1,18.8,3,97.1,73.3,5.785529716
"Hays County, Texas",17,230191,2.8,14,15,7.1,9,95.4,60.73,10.63909262
"Henderson County, Texas",27,82737,3.5,18.7,17.5,12.7,5,72.6,56.64,5.774371163
"Hidalgo County, Texas",34.4,868707,6.2,30.5,31.2,30,3,90.4,50.98,10.0197772
"Hill County, Texas",25.9,36649,3.3,16.2,15.9,13.4,3,34.8,60,5.556110577
"Hockley County, Texas",24.9,23021,3,18.4,15.7,14.5,3,57.6,78.95,8.15898838
"Hood County, Texas",17.5,61643,3.4,15.3,10.7,8.1,7,86.9,67.5,11.21341348
"Hopkins County, Texas",22,37084,3.1,18.4,16.9,13.7,3,60.9,44.97,6.305934144
"Houston County, Texas",43.7,22968,3.1,15,24.7,14.7,1,58.5,69.22,4.232071107
"Howard County, Texas",27.3,36664,3.1,17.4,16.8,11.1,2,90.3,56.23,4.001029121
"Hunt County, Texas",25.3,98594,3.5,17,17.5,14.2,3,45.2,58.84,6.47838713
"Hutchinson County, Texas",21.9,20938,4.4,17.3,15.2,10.4,2,89.3,57.5,4.688907796
"Jack County, Texas",34.1,8935,3.1,17.4,15.1,6.4,2,17.1,51.23,6.111496325
"Jackson County, Texas",30.5,14760,3,15.8,13.9,12.8,4,72,63.98,7.513969638
"Jasper County, Texas",39.4,35529,6.1,16.7,16.7,12.2,3,37.2,77.78,4.787195945
"Jeff Davis County, Texas",33.4,2274,2.9,13.6,6.5,6.8,2,30.3,75.99,4.090638298
"Jefferson County, Texas",31.2,251565,5.8,20.5,18.4,16.4,3,93.7,62.31,5.41282268
"Jim Hogg County, Texas",49.8,5200,4.8,18.8,27.4,27.6,1,0.1,51.66,4
"Jim Wells County, Texas",43.4,40482,4.7,18.4,23,17.6,4,78.9,60.99,10.10983363
"Johnson County, Texas",16.7,175817,3.2,16.1,10.6,10.4,8,77.4,49.55,13.81989134
"Jones County, Texas",29,20083,4.3,13.9,14.3,13.1,3,46.9,49.99,3.815229996
"Karnes County, Texas",41,15601,2.5,13.9,18.6,15,2,0.7,60,5.437446705
"Kaufman County, Texas",22.4,136154,3.3,15.1,13,11.1,8,72.7,51.99,9.493519868
